Period,rgdp_mex,rgdp_usa,rgdp_can,gexp_mex,gexp_usa,gexp_can,tax_mex,tax_usa,tax_can,ca_mex,ca_usa,ca_can,reer_mex,reer_usa,reer_can,crisis,d_reer_mex,d_reer_usa,d_reer_can
2000/01,16.3495337229706,16.3754668554380,14.1709608523257,13.9922022264343,12.6301800534095,12.5785082354240,12.5231431348907,0.0663802357466,10.8895319025093,-0.0284720688278,-0.0092481059201,0.0052159059903,4.6051701859881,4.6051701859881,4.6051701859881,0.0000000000000,0.0146999092301,0.0210375686107,0.0113628234298
2000/02,16.3645230147342,16.3935089437804,14.1827766175088,14.0042604426524,12.6459280796474,12.5894659537162,12.5376355414437,0.0652551006468,10.8918538701946,-0.0250728166576,-0.0093419711741,0.0056128166134,4.5907287014948,4.6100930772040,4.6295077117438,0.0000000000000,-0.0144414844933,0.0049228912159,0.0243375257557
2000/03,16.3746706346990,16.3945061876500,14.1928950707445,14.0227450460436,12.6439827580954,12.5941236714957,12.5475898100067,0.0637775224568,10.8908874301870,-0.0251696119412,-0.0100111693043,0.0068819934247,4.5939644921949,4.6478997601834,4.6388905602196,0.0000000000000,0.0032357907001,0.0378066829794,0.0093828484759
2000/04,16.3659921472934,16.4004322115853,14.1946056808121,14.0288483941367,12.6344669067119,12.6002105086071,12.5482275564385,0.0634393676196,10.8943773221439,-0.0270010697656,-0.0101505878906,0.0077104371160,4.5733914186698,4.6515139850532,4.6662479183948,0.0000000000000,-0.0205730735251,0.0036142248698,0.0273573581751
2001/01,16.3663082796147,16.3971847342018,14.1998882137420,14.0171763175770,12.6576271299912,12.6129301171835,12.5600781124853,0.0606903515309,10.8737159403715,-0.0255867114573,-0.0101081234079,0.0092875703090,4.5688729224550,4.6336591376204,4.6757028300951,0.0000000000000,-0.0045184962148,-0.0178548474328,0.0094549117003
2001/02,16.3608904588509,16.4033793997297,14.2025794892609,14.0348714078073,12.6808579813537,12.6254373714909,12.5787963596088,0.0575200490612,10.9009807793483,-0.0239091065677,-0.0089876222162,0.0063598355394,4.5717078121928,4.7031765149362,4.6961124743440,0.0000000000000,0.0028348897378,0.0695173773158,0.0204096442490
2001/03,16.3630759620665,16.3993678741488,14.2019131248450,14.0579468471621,12.6878815679137,12.6282801476379,12.6282479318418,0.0371036287910,10.8554653937685,-0.0207948126631,-0.0097026724444,0.0036002683517,4.5657653106635,4.7092636968650,4.6916930806319,0.0000000000000,-0.0059425015293,0.0060871819288,-0.0044193937121
2001/04,16.3566890645016,16.4021371796651,14.2079829585479,14.0753087517262,12.7043266992128,12.6296526830635,12.6353432092756,0.0435532596374,10.8249952018144,-0.0223481305112,-0.0081850048685,0.0028268918091,4.5374313050202,4.7180649838711,4.6971033034148,0.0000000000000,-0.0283340056433,0.0088012870061,0.0054102227829
2002/01,16.3499260760820,16.4103853420133,14.2227161505502,14.0860465931322,12.7345534246925,12.6365685204302,12.6184679791397,0.0273797004683,10.7948331950111,-0.0167606548077,-0.0094244203882,0.0061166540081,4.5387492050326,4.7431072843474,4.7095380847810,0.0000000000000,0.0013179000124,0.0250423004763,0.0124347813662
2002/02,16.3590546085603,16.4165215017768,14.2285925835636,14.0759007990047,12.7640575832689,12.6406498541818,12.7113614634262,0.0234933584142,10.8366118515631,-0.0173762159029,-0.0104396014581,0.0046589402745,4.5626442425964,4.7101300012622,4.6909313461244,0.0000000000000,0.0238950375638,-0.0329772830852,-0.0186067386566
